RECORDER -----> 00:1a:79:74:b4:36 | 10.30.12.140 | 26/4/2023 22:0:0 | STATUS_END_RECORD /media/USB-04010b29cb277f16e53c0875076096a1dd1cf821d6e85259b6319c671a70563c41aa00000000000000000000a89c3692ff1a7518a355810715ac20d2-1/11070_Gutfeld_undefined.ts
MULTICAST -----> 00:1a:79:6d:d2:99 | 10.30.15.129 | 27/4/2023 0:1:10 | INFORMATION_RECEIVED udp://@225.1.1.129:2001
MULTICAST -----> 00:1a:79:6d:d2:99 | 10.30.15.129 | 27/4/2023 0:1:10 | STATUS_PLAYING udp://@225.1.1.129:2001
MULTICAST -----> 00:1a:79:6d:d2:99 | 10.30.15.129 | 27/4/2023 0:1:59 | INFORMATION_RECEIVED udp://@225.1.1.129:2001
MULTICAST -----> 00:1a:79:6d:d2:99 | 10.30.15.129 | 27/4/2023 0:2:0 | STATUS_PLAYING udp://@225.1.1.129:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 27/4/2023 0:1:31 | INFORMATION_RECEIVED udp://@225.1.1.145:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 27/4/2023 0:1:31 | STATUS_PLAYING udp://@225.1.1.145:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 27/4/2023 5:31:22 | STATUS_END_OF_STREAM udp://@225.1.1.145:2001
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 17:0:0 | STATUS_START_RECORD /media/USB-E0D55E6CE787F560A94D2380-1/11080_ABC_World_News_Tonight_With_David_Muir_undefined.ts
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 17:30:0 | STATUS_START_RECORD /media/USB-E0D55E6CE787F560A94D2380-1/11078_NHL_Hockey_undefined.ts
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 17:30:25 | STATUS_ERROR_RECORD -10
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 17:30:26 | STATUS_ERROR_RECORD -10
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 17:30:28 | STATUS_START_RECORD /media/USB-E0D55E6CE787F560A94D2380-1/11077_NFL_Draft_Countdown_undefined.ts1
